# Tesserae V6 Latin Synonym Additions
# Generated 2026-03-06 by Claude (Anthropic) in collaboration with Neil Coffee
# Purpose: Expand poetic synonym coverage for fusion search allusion detection
# Format: comma-separated synonym groups (same as V3 fixed_latin_syn.csv)
# Methodology: Entries represent vocabulary substitutions attested in Latin poetic
# practice (variatio), focusing on semantic fields underrepresented in the V3
# dictionary derived from Lewis & Short. Groups are kept small and precise to
# avoid false positive matches.
#
# ============================================================================
# 1. DESTRUCTION AND RUIN
# Verbs describing devastation, corruption, annihilation — the Thomas gap
# Note: conrumpo is a UD treebank variant lemma for corrumpo (perfect forms)
# ============================================================================
corrumpo,conrumpo,vasto,devasto
corrumpo,conrumpo,vitio,contamino
vasto,depopulor,populor
deleo,aboleo,oblittero
perdo,pessundo,disperdo
everto,subverto,diruo
destruo,demolior,diruo
exstinguo,opprimo,elido
inficio,contamino,polluo
exhaurio,depleo,evacuo
consumo,absumo,haurio

# ============================================================================
# 2. KILLING AND SLAUGHTER
# Verbs of violent death — central to epic poetry
# ============================================================================
neco,interficio,perimo
occido,caedo,macto
iugulo,obtrunco,trucido
sterno,prosterno,affigo
conficio,confodio
pereundo,intereo,pereo,occido

# ============================================================================
# 3. MOTION AND TRAVEL
# ============================================================================
eo,gradior,incedo
procedo,pergo,contendo
fugio,aufugio,profugio
venio,advenio,accedo
propero,festino,maturo
volvo,voluto,roto
labor,delabor,prolabor
ruo,proruo,irruo
cado,decido,concido
repo,serpo,proserpo

# ============================================================================
# 4. THROWING AND SENDING
# ============================================================================
iacio,conicio,intorqueo
mitto,emitto,dimitto
vibro,contorqueo,torqueo
fundo,effundo,profundo

# ============================================================================
# 5. SEIZING AND CARRYING
# ============================================================================
rapio,corripio,arripio,abripio,diripio
fero,perfero,affero,aufero
porto,exporto,transporto
veho,adveho,deveho
tollo,attollo,extollo,sublevo

# ============================================================================
# 6. BREAKING AND SPLITTING
# ============================================================================
frango,confringo,perfringo
rumpo,disrumpo,abrumpo
scindo,discindo,rescindo
findo,diffindo
dissilio,dissiluo

# ============================================================================
# 7. SPEAKING AND CALLING
# ============================================================================
dico,aio,loquor
fari,effari,profari
clamo,exclamo,vociferor
voco,invoco,appello
cano,canto,concino
sono,resono,persono
fremo,infremo,murmuro
gemo,ingemisco,suspiro

# ============================================================================
# 8. SEEING AND PERCEIVING
# ============================================================================
video,cerno,conspicio,tueor
aspicio,respicio,prospicio
specto,intueor,contemplor
lustro,perlustro
nosco,cognosco,agnosco

# ============================================================================
# 9. FEAR AND DREAD
# ============================================================================
timeo,metuo,vereor
paveo,trepido,tremo
horreo,horresco,perhorresco
formido,reformido

# ============================================================================
# 10. GRIEF AND LAMENTATION
# ============================================================================
doleo,maereo,lugeo
plango,lamentor,queror
fleo,lacrimo,illacrimor
defluo,deflecto

# ============================================================================
# 11. JOY AND CELEBRATION
# ============================================================================
gaudeo,laetor,exsulto
ovio,triumpho
celebro,festivo

# ============================================================================
# 12. ANGER AND RAGE
# ============================================================================
irascor,indignor,saevio
furere,insanio,bacchor
ardeo,flagro,aestuo,ferveo

# ============================================================================
# 13. DESIRE AND LOVE
# ============================================================================
amo,diligo,adamo
cupio,opto,desidero,aveo
ardeo,flagro,uror

# ============================================================================
# 14. HIDING AND FLEEING
# ============================================================================
lateo,delitesco,abdor
celo,abscondo,occulo
tego,contego,protego

# ============================================================================
# 15. LYING AND RESTING
# ============================================================================
iaceo,cubo,recumbo
quiesco,requiesco,conquiesco
sedo,resido,consido

# ============================================================================
# 16. RISING AND STANDING
# ============================================================================
surgo,assurgo,exsurgo,consurgo
sto,sisto,consisto
erigo,attollo

# ============================================================================
# 17. BURNING AND FIRE
# ============================================================================
uro,aduro,comburo,cremo
incendo,inflammo,succendo
flagro,ardeo,candeo
fulgor,splendor,nitor,iubar

# ============================================================================
# 18. FLOWING AND POURING
# ============================================================================
fluo,defluo,profluo
mano,emano,promano
stillo,destillo,instillo
rigo,irroro,aspergo

# ============================================================================
# 19. WIND AND STORM
# ============================================================================
procella,tempestas,turbo,hiems
nimbus,nubes,nubilum
